
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"

="toneev",="0.0581",="3.082",="0",="0.119",="0.380",="0.422",="0.299",="0.403",="4.763",="0",="0.279*",="0.535**",="0.468**",="0.404",="0.345"
="",="(0.0538)",="(.)",="(.)",="(0.105)",="(0.277)",="(0.265)",="(0.212)",="(0.241)",="(.)",="(.)",="(0.165)",="(0.246)",="(0.219)",="(0.284)",="(0.235)"

="tonepr",="0.0914",="0",="0",="-0.175",="0.134",="-0.393",="-0.202",="0.0508",="0",="0",="-0.0474",="0.236",="-0.113",="0.0528",="0.594"
="",="(0.0925)",="(.)",="(.)",="(0.261)",="(0.464)",="(0.329)",="(0.372)",="(0.426)",="(.)",="(.)",="(0.432)",="(0.507)",="(0.415)",="(0.517)",="(0.686)"

="rate_shock_abs",="-0.200",="-1.032",="1.808",="0.179",="-1.882",="-2.025",="-1.376",="-1.420",="-1.073",="1.819",="0.0162",="-1.235",="-1.777**",="-1.521",="-1.639"
="",="(0.231)",="(.)",="(.)",="(0.186)",="(1.503)",="(1.255)",="(0.956)",="(1.149)",="(.)",="(.)",="(0.460)",="(0.931)",="(0.752)",="(1.154)",="(0.993)"

="trans",="0.112",="0",="0",="-0.0617",="0.956",="1.100",="0.908",="0.719",="0.492",="0",="-0.103",="0.621",="0.818*",="0.955",="0.524"
="",="(0.115)",="(.)",="(.)",="(0.138)",="(0.814)",="(0.695)",="(0.581)",="(0.598)",="(.)",="(.)",="(0.259)",="(0.513)",="(0.410)",="(0.627)",="(0.501)"

="trust",="-0.548",="0",="0",="-3.072",="4.466",="8.580",="10.27",="5.534",="0",="0",="-0.938",="4.832",="11.15*",="16.19*",="7.281"
="",="(1.515)",="(.)",="(.)",="(2.307)",="(9.100)",="(8.197)",="(7.422)",="(6.862)",="(.)",="(.)",="(4.588)",="(6.708)",="(5.799)",="(8.546)",="(6.825)"

="_cons",="0.258",="25.95",="0.424",="1.691",="-5.492",="-10.69",="-9.732",="-3.847",="37.81",="1.072",="3.858",="-0.171",="-6.647",="-9.359",="0.00766"
="",="(1.318)",="(.)",="(.)",="(2.887)",="(8.806)",="(8.862)",="(7.656)",="(6.934)",="(.)",="(.)",="(4.499)",="(7.079)",="(6.462)",="(8.998)",="(7.762)"

="N",="40",="3",="2",="38",="40",="37",="38",="39",="4",="2",="38",="39",="36",="36",="38"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
