
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"

="toneev",="0.0582",="1.207",="0",="0.0559",="0.190",="0.154",="0.114",="0.128",="2.277",="0",="0.0709",="0.167*",="0.211*",="0.0998",="0.0716"
="",="(0.0356)",="(.)",="(.)",="(0.0481)",="(0.143)",="(0.121)",="(0.101)",="(0.104)",="(.)",="(.)",="(0.0738)",="(0.0985)",="(0.116)",="(0.0909)",="(0.0958)"

="tonepr",="-0.0437",="0",="0",="-0.0899",="0.0132",="-0.202",="-0.102",="0.0263",="0",="0",="-0.0619",="0.0556",="-0.0773",="-0.0906",="0.166"
="",="(0.0561)",="(.)",="(.)",="(0.110)",="(0.240)",="(0.161)",="(0.179)",="(0.207)",="(.)",="(.)",="(0.199)",="(0.232)",="(0.211)",="(0.216)",="(0.304)"

="rate_shock_abs",="-0.226",="-0.368",="0.786",="-0.00613",="-1.141",="-1.166*",="-0.815*",="-0.848",="-0.776",="0.618",="-0.242",="-0.732*",="-0.968**",="-0.313",="-0.689**"
="",="(0.151)",="(.)",="(.)",="(0.129)",="(0.816)",="(0.612)",="(0.469)",="(0.533)",="(.)",="(.)",="(0.279)",="(0.414)",="(0.391)",="(0.321)",="(0.285)"

="trans",="0.0778",="0",="0",="-0.0327",="0.503",="0.455",="0.341",="0.246",="0.329",="0",="-0.0508",="0.199",="0.204",="0.0620",="-0.0241"
="",="(0.0759)",="(.)",="(.)",="(0.0581)",="(0.433)",="(0.330)",="(0.270)",="(0.261)",="(.)",="(.)",="(0.104)",="(0.210)",="(0.209)",="(0.135)",="(0.153)"

="trust",="-0.409",="0",="0",="-1.336",="2.489",="2.186",="2.748",="0.696",="0",="0",="-1.704",="0.245",="1.001",="1.960",="-0.389"
="",="(0.866)",="(.)",="(.)",="(1.042)",="(4.725)",="(3.874)",="(3.615)",="(3.092)",="(.)",="(.)",="(2.290)",="(2.955)",="(3.585)",="(3.045)",="(2.474)"

="_cons",="-0.251",="10.06",="0.141",="0.746",="-3.378",="-4.376",="-3.386",="-0.885",="17.33",="0.403",="1.532",="0.317",="-0.219",="-0.504",="2.233"
="",="(0.807)",="(.)",="(.)",="(1.170)",="(4.620)",="(4.258)",="(3.694)",="(3.158)",="(.)",="(.)",="(2.012)",="(2.933)",="(3.801)",="(2.734)",="(2.887)"

="N",="40",="3",="2",="38",="40",="37",="38",="39",="4",="2",="38",="39",="36",="36",="38"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
