date;tonepr;rate_shock_abs;rate_shock_rel;rts_close;rts_spread;toneev;year;trans;trust
2013-10-14;-3.9663142380360257;0.0;0.0;1473.97;-0.20535627707660709;;2013.0;3.5;
2013-11-08;-4.879730164752349;0.0;0.0;1435.12;-2.2802313315391842;;2013.0;3.5;
2013-12-13;-4.583010579059484;0.0;0.0;1391.85;-0.1235002418749076;;2013.0;3.5;
2014-02-14;-7.115753204379045;0.0;0.0;1343.2;1.620413643928753;-8.935623510196278;2014.0;6.2;0.36
2014-03-03;-3.6033172251667085;0.0;0.0;1115.06;-10.601766341823815;;2014.0;6.2;0.36
2014-03-14;-8.123946743760223;0.0;0.0;1062.47;-0.16175602823507162;;2014.0;6.2;0.36
2014-04-25;-6.852045907510162;0.5;0.07142857142857142;1119.37;-1.8805947172940485;;2014.0;6.2;0.36
2014-06-16;-6.204978674133912;0.0;0.0;1357.8;0.07736089240326649;-8.390548496021786;2014.0;6.2;0.36
2014-07-25;-5.930010197789854;0.5;0.06666666666666667;1246.25;-1.4419113835552722;;2014.0;6.2;0.36
2014-09-12;-5.80073801013683;0.0;0.0;1213.27;-0.3652851884449859;-7.212114985002717;2014.0;6.2;0.36
2014-10-31;-7.8620151245781535;1.5;0.1875;1091.44;-1.137861477508828;;2014.0;6.2;0.36
2014-12-11;-6.766651719138959;1.0;0.10526315789473684;824.01;-3.7538494171402093;-9.310849410836532;2014.0;6.2;0.36
2014-12-16;-2.1958892020342677;0.0;0.0;629.15;-12.130363530832788;;2014.0;6.2;0.36
2015-01-30;-6.722367496937038;-2.0;-0.11764705882352941;737.35;-1.9394351934713505;;2015.0;7.2;0.46
2015-03-13;-5.121355845086528;-1.0;-0.06666666666666667;833.57;-2.7486837265723096;-8.869886752654205;2015.0;7.2;0.46
2015-04-30;-6.357559135066115;-1.5;-0.10714285714285714;1029.31;-0.2590612182912899;;2015.0;7.2;0.46
2015-06-15;-6.702271100625785;-1.0;-0.08;957.38;1.0795702597982348;-9.070159373225193;2015.0;7.2;0.46
2015-07-31;-4.965063311513991;-0.5;-0.043478260869565216;858.82;-0.5828212427250179;;2015.0;7.2;0.46
2015-09-11;-5.917393391912702;0.0;0.0;799.1;-0.1737945785944106;-7.572947587883636;2015.0;7.2;0.46
2015-10-30;-5.713729522307707;0.0;0.0;845.54;0.9208004085250465;;2015.0;7.2;0.46
2015-12-11;-6.165860047144953;0.0;0.0;777.17;-1.6158615775638374;-9.343946130718301;2015.0;7.2;0.46
2016-01-29;-6.873474388452071;0.0;0.0;745.3;1.8402561287718555;;2016.0;7.3;0.42
2016-03-18;-5.701132764428126;0.0;0.0;885.13;1.048259770658433;-8.11760735565921;2016.0;7.3;0.42
2016-04-29;-4.285522624905351;0.0;0.0;951.11;-0.8678365493376639;;2016.0;7.3;0.42
2016-06-10;-5.141967837852538;-0.5;-0.045454545454545456;924.65;-2.0191676055680396;-9.193270211467983;2016.0;7.3;0.42
2016-07-29;-5.153685756911098;0.0;0.0;927.57;0.4245877997631098;;2016.0;7.3;0.42
2016-09-16;-5.3945856676447;-0.5;-0.047619047619047616;961.41;-1.0810804261310203;-10.85829096445404;2016.0;7.3;0.42
2016-10-28;-4.247185051924369;0.0;0.0;992.23;-0.2265052234056597;;2016.0;7.3;0.42
2016-12-16;-5.224522362458918;0.0;0.0;1135.56;-0.6206701545119486;-10.216359289229997;2016.0;7.3;0.42
2017-02-03;-5.972102867541159;0.0;0.0;1190.4;1.144800759086273;;2017.0;7.3;0.42
2017-03-24;-5.976451086367311;-0.25;-0.025;1124.66;0.1325723224823605;-10.138329717317747;2017.0;7.3;0.42
2017-04-28;-5.21082435941742;-0.5;-0.05128205128205128;1114.43;-0.3135697528930059;;2017.0;7.3;0.42
2017-06-16;-7.684616045968009;-0.25;-0.02702702702702703;994.38;0.4374081010689146;-10.174987300916673;2017.0;7.3;0.42
2017-07-28;-6.918267496173505;0.0;0.0;1014.44;-1.2889250153538256;;2017.0;7.3;0.42
2017-09-15;-6.07203453661727;-0.5;-0.05555555555555555;1123.43;-0.04449665458574614;-9.913927689711194;2017.0;7.3;0.42
2017-10-27;-6.287036696946751;-0.25;-0.029411764705882353;1118.62;0.19865600577064768;;2017.0;7.3;0.42
2017-12-15;-5.998248009886984;-0.5;-0.06060606060606061;1148.27;-0.44489702607286574;-11.196960498692736;2017.0;7.3;0.42
2018-02-09;-6.401688974617332;-0.25;-0.03225806451612903;1185.79;-0.4854153851792553;;2018.0;8.3;0.37
2018-03-23;-5.552171264241022;-0.25;-0.03333333333333333;1261.44;0.8702457437321343;-9.722331379666498;2018.0;8.3;0.37
