date;tonepr;rate_shock_abs;rate_shock_rel;moex_close;moex_spread;toneev;year;trans;trust;tonepr2;tonepr3
2013-10-14;-0.0850443328341083;0.0;0.0;1510.2;-0.0010655160984391898;;2013.0;3.5;;0.00723253854719859;-0.000615086415443475
2013-11-08;-0.1046294800074456;0.0;0.0;1489.55;-0.012714636158449366;;2013.0;3.5;;0.010947328086628457;-0.00114541324517484
2013-12-13;-0.0982673216685849;0.0;0.0;1452.76;0.0020809654365701036;;2013.0;3.5;;0.009656466507917136;-0.0009489151005154098
2014-02-14;-0.1525735097021044;0.0;0.0;1496.18;0.011704532014326752;-0.1281704364968494;2014.0;6.2;0.36;0.023278675862818145;-0.003551709277607828
2014-03-03;-0.0772610769124768;0.0;0.0;1288.81;-0.10954785540164913;;2014.0;6.2;0.36;0.005969274005675655;-0.0004611925380641553
2014-03-14;-0.1741908455405242;0.0;0.0;1237.43;-0.008737966543718834;;2014.0;6.2;0.36;0.030342450670122756;-0.005285377138000328
2014-04-25;-0.1469191893987275;0.5;0.07142857142857142;1280.12;-0.015818050153987073;;2014.0;6.2;0.36;0.021585248213579163;-0.0031712871705093814
2014-06-16;-0.1330449984348405;0.0;0.0;1493.93;-0.0048345725363159175;-0.1203520114691441;2014.0;6.2;0.36;0.01770097160852671;-0.002355025739951592
2014-07-25;-0.1271492198309065;0.5;0.06666666666666667;1388.41;-0.014145984298807868;;2014.0;6.2;0.36;0.016166924103608184;-0.002055611786839258
2014-09-12;-0.1243774104650402;0.0;0.0;1458.52;0.006272545257123063;-0.1034488443518769;2014.0;6.2;0.36;0.01546974023398909;-0.001924086230870408
2014-10-31;-0.1685745987016134;1.5;0.1875;1488.47;0.02350602387316414;;2014.0;6.2;0.36;0.028417395327409996;-0.004790451013463244
2014-12-11;-0.1450881968595344;1.0;0.10526315789473684;1455.04;-0.021653298642073437;-0.1335525866529194;2014.0;6.2;0.36;0.021050584867951003;-0.003054191401329611
2014-12-16;-0.0470834938830004;0.0;0.0;1444.32;0.013663319382094308;;2014.0;6.2;0.36;0.002216855396230536;-0.00010437729748791686
2015-01-30;-0.1441386699420442;-2.0;-0.11764705882352941;1647.69;0.00433666003148403;;2015.0;7.2;0.46;0.020775956172661553;-0.002994618689501639
2015-03-13;-0.1098103339555642;-1.0;-0.06666666666666667;1627.88;-0.022300292072658046;-0.1272275242424957;2015.0;7.2;0.46;0.012058309443432535;-0.00132412698692286
2015-04-30;-0.1363165757039994;-1.5;-0.10714285714285714;1688.34;0.010329532537170394;;2015.0;7.2;0.46;0.0185822088116642;-0.002533063074222748
2015-06-15;-0.1437077699895718;-1.0;-0.08;1657.29;0.003021533731788928;-0.1301001865886276;2015.0;7.2;0.46;0.020651923155375673;-0.002967841822655039
2015-07-31;-0.1064591637136394;-0.5;-0.043478260869565216;1669.0;0.01953040551426355;;2015.0;7.2;0.46;0.011333553538607474;-0.0012065606316239103
