date;tonepr;rate_shock_abs;rate_shock_rel;moex_close;moex_spread;toneev;year;trans;trust;tonepr2;tonepr3
2013-10-14;-3.9663142380360257;0.0;0.0;1510.2;-0.10655160984391898;;2013.0;3.5;;0.007232538547198604;-0.0006150864154434769
2013-11-08;-4.879730164752349;0.0;0.0;1489.55;-1.2714636158449366;;2013.0;3.5;;0.010947328086628464;-0.0011454132451748408
2013-12-13;-4.583010579059484;0.0;0.0;1452.76;0.20809654365701036;;2013.0;3.5;;0.009656466507917143;-0.0009489151005154111
2014-02-14;-7.115753204379045;0.0;0.0;1496.18;1.1704532014326752;-8.935623510196278;2014.0;6.2;0.36;0.02327867586281817;-0.0035517092776078335
2014-03-03;-3.6033172251667085;0.0;0.0;1288.81;-10.954785540164913;;2014.0;6.2;0.36;0.005969274005675664;-0.0004611925380641563
2014-03-14;-8.123946743760223;0.0;0.0;1237.43;-0.8737966543718834;;2014.0;6.2;0.36;0.030342450670122777;-0.005285377138000333
2014-04-25;-6.852045907510162;0.5;0.07142857142857142;1280.12;-1.5818050153987073;;2014.0;6.2;0.36;0.021585248213579163;-0.0031712871705093814
2014-06-16;-6.204978674133912;0.0;0.0;1493.93;-0.48345725363159175;-8.390548496021786;2014.0;6.2;0.36;0.017700971608526732;-0.0023550257399515967
2014-07-25;-5.930010197789854;0.5;0.06666666666666667;1388.41;-1.4145984298807868;;2014.0;6.2;0.36;0.016166924103608198;-0.0020556117868392606
2014-09-12;-5.80073801013683;0.0;0.0;1458.52;0.6272545257123063;-7.212114985002717;2014.0;6.2;0.36;0.015469740233989103;-0.0019240862308704107
2014-10-31;-7.8620151245781535;1.5;0.1875;1488.47;2.350602387316414;;2014.0;6.2;0.36;0.028417395327409996;-0.004790451013463244
2014-12-11;-6.766651719138959;1.0;0.10526315789473684;1455.04;-2.1653298642073437;-9.310849410836532;2014.0;6.2;0.36;0.02105058486795102;-0.003054191401329615
2014-12-16;-2.1958892020342677;0.0;0.0;1444.32;1.3663319382094308;;2014.0;6.2;0.36;0.002216855396230544;-0.00010437729748791742
2015-01-30;-6.722367496937038;-2.0;-0.11764705882352941;1647.69;0.433666003148403;;2015.0;7.2;0.46;0.020775956172661578;-0.0029946186895016443
2015-03-13;-5.121355845086528;-1.0;-0.06666666666666667;1627.88;-2.2300292072658046;-8.869886752654205;2015.0;7.2;0.46;0.012058309443432535;-0.00132412698692286
2015-04-30;-6.357559135066115;-1.5;-0.10714285714285714;1688.34;1.0329532537170394;;2015.0;7.2;0.46;0.018582208811664218;-0.002533063074222751
2015-06-15;-6.702271100625785;-1.0;-0.08;1657.29;0.3021533731788928;-9.070159373225193;2015.0;7.2;0.46;0.020651923155375687;-0.0029678418226550423
2015-07-31;-4.965063311513991;-0.5;-0.043478260869565216;1669.0;1.953040551426355;;2015.0;7.2;0.46;0.011333553538607481;-0.0012065606316239111
2015-09-11;-5.917393391912702;0.0;0.0;1718.06;-0.047716865325408975;-7.572947587883636;2015.0;7.2;0.46;0.01609820315854835;-0.0020425190031232087
2015-10-30;-5.713729522307707;0.0;0.0;1711.53;0.17660616746830726;;2015.0;7.2;0.46;0.015009142285297815;-0.0018387971080307557
2015-12-11;-6.165860047144953;0.0;0.0;1720.31;-0.7291798520497217;-9.343946130718301;2015.0;7.2;0.46;0.017478487360933433;-0.002310764927370969
2016-01-29;-6.873474388452071;0.0;0.0;1784.92;0.7259100792254891;;2016.0;7.3;0.42;0.021720466902444273;-0.0032011331208893893
2016-03-18;-5.701132764428126;0.0;0.0;1914.02;1.1143244890573278;-8.11760735565921;2016.0;7.3;0.42;0.014943035509291068;-0.001826662203807382
2016-04-29;-4.285522624905351;0.0;0.0;1953.05;-0.8874764825162806;;2016.0;7.3;0.42;0.008443531026458041;-0.0007758649901345166
2016-06-10;-5.141967837852538;-0.5;-0.045454545454545456;1903.61;-1.2165600163688062;-9.193270211467983;2016.0;7.3;0.42;0.0121555672624206;-0.0013401791165769167
2016-07-29;-5.153685756911098;0.0;0.0;1944.62;-0.42078965163625526;;2016.0;7.3;0.42;0.012211032507311655;-0.0013493623276648857
