date;tonepr;rate_shock_abs;rate_shock_rel;close;spread;toneev;year;trans;trust
2013-10-14;-3.9663142380360257;0.0;0.0;324.02;0.10189746292432744;;2013.0;3.5;
2013-11-08;-4.879730164752349;0.0;0.0;325.2;-0.3468761631979511;;2013.0;3.5;
2013-12-13;-4.583010579059484;0.0;0.0;323.4;-0.12360941005287174;;2013.0;3.5;
2014-02-14;-7.115753204379045;0.0;0.0;322.44;-0.052709093538716445;-8.935623510196278;2014.0;6.2;0.36
2014-03-03;-3.6033172251667085;0.0;0.0;316.39;-1.262579586196555;;2014.0;6.2;0.36
2014-03-14;-8.123946743760223;0.0;0.0;305.45;-0.7534159348264069;;2014.0;6.2;0.36
2014-04-25;-6.852045907510162;0.5;0.07142857142857142;310.4;-1.417102229584799;;2014.0;6.2;0.36
2014-06-16;-6.204978674133912;0.0;0.0;321.66;-0.46215246414034183;-8.390548496021786;2014.0;6.2;0.36
2014-07-25;-5.930010197789854;0.5;0.06666666666666667;317.06;-0.7947893876133705;;2014.0;6.2;0.36
2014-09-12;-5.80073801013683;0.0;0.0;315.35;0.02220002229122997;-7.212114985002717;2014.0;6.2;0.36
2014-10-31;-7.8620151245781535;1.5;0.1875;314.74;0.3277908894111725;;2014.0;6.2;0.36
2014-12-11;-6.766651719138959;1.0;0.10526315789473684;290.33;-0.0619792045183587;-9.310849410836532;2014.0;6.2;0.36
2014-12-16;-2.1958892020342677;0.0;0.0;257.8;-8.812596119553984;;2014.0;6.2;0.36
2015-01-30;-6.722367496937038;-2.0;-0.11764705882352941;278.85;1.5540609110681558;;2015.0;7.2;0.46
2015-03-13;-5.121355845086528;-1.0;-0.06666666666666667;293.65;0.10221465966591126;-8.869886752654205;2015.0;7.2;0.46
2015-04-30;-6.357559135066115;-1.5;-0.10714285714285714;322.31;0.9633295079137127;;2015.0;7.2;0.46
2015-06-15;-6.702271100625785;-1.0;-0.08;326.69;-0.14682044664757754;-9.070159373225193;2015.0;7.2;0.46
2015-07-31;-4.965063311513991;-0.5;-0.043478260869565216;332.02;-0.0842967294618191;;2015.0;7.2;0.46
2015-09-11;-5.917393391912702;0.0;0.0;325.87;0.05525201196485696;-7.572947587883636;2015.0;7.2;0.46
2015-10-30;-5.713729522307707;0.0;0.0;350.19;-0.07136434654819723;;2015.0;7.2;0.46
2015-12-11;-6.165860047144953;0.0;0.0;356.44;-0.008416209624684257;-9.343946130718301;2015.0;7.2;0.46
2016-01-29;-6.873474388452071;0.0;0.0;357.4;-0.16494503243462688;;2016.0;7.3;0.42
2016-03-18;-5.701132764428126;0.0;0.0;376.94;0.48400488071500547;-8.11760735565921;2016.0;7.3;0.42
2016-04-29;-4.285522624905351;0.0;0.0;381.46;0.4361197570095676;;2016.0;7.3;0.42
2016-06-10;-5.141967837852538;-0.5;-0.045454545454545456;388.32;0.4516777801200078;-9.193270211467983;2016.0;7.3;0.42
2016-07-29;-5.153685756911098;0.0;0.0;394.68;0.20290156093647482;;2016.0;7.3;0.42
