date;tonepr;rate_shock_abs;rate_shock_rel;gold_close;gold_spread;toneev;year;trans;trust
2013-10-14;-0.08504433283410838;0.0;0.0;;;;2013.0;3.5;
2013-11-08;-0.10462948000744562;0.0;0.0;;;;2013.0;3.5;
2013-12-13;-0.09826732166858494;0.0;0.0;;;;2013.0;3.5;
2014-02-14;-0.15257350970210448;0.0;0.0;33.19;-0.0036533967368654885;-0.12817043649684948;2014.0;6.2;0.36
2014-03-03;-0.07726107691247686;0.0;0.0;35.2;-0.007924518898459354;;2014.0;6.2;0.36
2014-03-14;-0.17419084554052425;0.0;0.0;36.61;0.00761440659863144;;2014.0;6.2;0.36
2014-04-25;-0.1469191893987275;0.5;0.07142857142857142;33.81;-0.041910192547547354;;2014.0;6.2;0.36
2014-06-16;-0.13304499843484058;0.0;0.0;31.97;0.0014274219239922559;-0.12035201146914412;2014.0;6.2;0.36
2014-07-25;-0.12714921983090655;0.5;0.06666666666666667;;;;2014.0;6.2;0.36
2014-09-12;-0.12437741046504025;0.0;0.0;33.44;0.00755389493417713;-0.10344884435187697;2014.0;6.2;0.36
2014-10-31;-0.1685745987016134;1.5;0.1875;35.72;0.0016120865352053926;;2014.0;6.2;0.36
2014-12-11;-0.14508819685953445;1.0;0.10526315789473684;48.7;-0.002671573684640549;-0.1335525866529194;2014.0;6.2;0.36
2014-12-16;-0.04708349388300048;0.0;0.0;61.65;0.0013905770873678946;;2014.0;6.2;0.36
2015-01-30;-0.14413866994204427;-2.0;-0.11764705882352941;63.95;-0.00035318104105996895;;2015.0;7.2;0.46
2015-03-13;-0.1098103339555642;-1.0;-0.06666666666666667;50.85;0.015812102368116143;-0.12722752424249578;2015.0;7.2;0.46
2015-04-30;-0.13631657570399947;-1.5;-0.10714285714285714;43.45;-0.033592918034393904;;2015.0;7.2;0.46
2015-06-15;-0.14370776998957185;-1.0;-0.08;46.65;0.01605536688692144;-0.13010018658862765;2015.0;7.2;0.46
2015-07-31;-0.10645916371363942;-0.5;-0.043478260869565216;48.15;-0.04906065619607425;;2015.0;7.2;0.46
2015-09-11;-0.12687869465969592;0.0;0.0;53.95;0.015795663819928585;-0.1086245405034403;2015.0;7.2;0.46
2015-10-30;-0.12251180467733636;0.0;0.0;52.6;-0.011168323920360379;;2015.0;7.2;0.46
2015-12-11;-0.13220623041647256;0.0;0.0;54.3;-0.010493199251224716;-0.1340273180501207;2015.0;7.2;0.46
2016-01-29;-0.14737865144736625;0.0;0.0;60.45;0.026278830538791986;;2016.0;7.3;0.42
2016-03-18;-0.12224170936832922;0.0;0.0;60.95;0.023219088224504247;-0.1164370093365788;2016.0;7.3;0.42
2016-04-29;-0.09188868823994628;0.0;0.0;59.9;-0.0006851026137724148;;2016.0;7.3;0.42
2016-06-10;-0.11025228914821043;-0.5;-0.045454545454545456;58.9;-0.01929191104150263;-0.13186605887018316;2016.0;7.3;0.42
2016-07-29;-0.1105035407003398;0.0;0.0;63.2;0.0015906610820328737;;2016.0;7.3;0.42
2016-09-16;-0.11566883294866148;-0.5;-0.047619047619047616;60.85;0.010641190288382951;-0.1557487164645885;2016.0;7.3;0.42
2016-10-28;-0.0910666673104445;0.0;0.0;57.0;-0.00883867968458052;;2016.0;7.3;0.42
2016-12-16;-0.11202239460285618;0.0;0.0;49.7;0.005690241035367194;-0.1465410027643934;2016.0;7.3;0.42
2017-02-03;-0.12805175624163198;0.0;0.0;51.2;-0.02163340940101577;;2017.0;7.3;0.42
2017-03-24;-0.12814498924005166;-0.25;-0.025;50.4;0.009919653312159049;-0.14542176533454385;2017.0;7.3;0.42
2017-04-28;-0.11172868677742663;-0.5;-0.05128205128205128;51.2;0.01777556566557248;;2017.0;7.3;0.42
2017-06-16;-0.16477086924893752;-0.25;-0.02702702702702703;51.0;-0.002179606652169319;-0.14594757290526714;2017.0;7.3;0.42
2017-07-28;-0.14833908971148674;0.0;0.0;53.2;0.009244526289015731;;2017.0;7.3;0.42
2017-09-15;-0.13019445639485658;-0.5;-0.05555555555555555;53.7;0.010872218207006235;-0.14220299657192864;2017.0;7.3;0.42
2017-10-27;-0.1348044580704088;-0.25;-0.029411764705882353;51.95;-0.02141213686586685;;2017.0;7.3;0.42
2017-12-15;-0.12861235130652388;-0.5;-0.06060606060606061;51.85;-0.03847158125066752;-0.16060651088509276;2017.0;7.3;0.42
2018-02-09;-0.1372627924022931;-0.25;-0.03225806451612903;53.75;-0.0195390191050695;;2018.0;8.3;0.37
2018-03-23;-0.11904772859900595;-0.25;-0.03333333333333333;53.8;-0.004752872610408687;-0.1394547851391626;2018.0;8.3;0.37
2018-04-27;-0.1789281803611984;0.0;0.0;57.35;0.009514137855649807;;2018.0;8.3;0.37
2018-06-15;-0.1487417076162867;0.0;0.0;56.6;0.019124274656705964;-0.1566414586728228;2018.0;8.3;0.37
2018-07-27;-0.14237095906546246;0.0;0.0;53.85;0.008090149490229237;;2018.0;8.3;0.37
2018-09-14;-0.11790990417150968;0.25;0.034482758620689655;57.0;0.021566367095237737;-0.1318620689205387;2018.0;8.3;0.37
2018-10-26;-0.1346244835130316;0.0;0.0;57.1;0.013581630725372662;;2018.0;8.3;0.37
2018-12-14;-0.12178685947829425;0.25;0.03333333333333333;57.6;-0.03447339839632235;-0.10947337980794553;2018.0;8.3;0.37
2019-02-08;-0.11740988155555755;0.0;0.0;60.42;-0.03165139736213085;;2019.0;8.3;0.31
2019-03-22;-0.12296021935205192;0.0;0.0;59.18;0.03355001273912439;-0.1436781518721748;2019.0;8.3;0.31
2019-04-26;-0.1431924349125045;0.0;0.0;58.1;-0.008356088584775101;;2019.0;8.3;0.31
2019-06-14;-0.1394233602989403;-0.25;-0.03225806451612903;60.3;0.0152432653774488;-0.13960796609304532;2019.0;8.3;0.31
2019-07-26;-0.12019119900347497;-0.25;-0.03333333333333333;62.46;0.004687213268679713;;2019.0;8.3;0.31
2019-09-06;-0.1316223389686336;-0.25;-0.034482758620689655;69.18;-0.013002795159996694;-0.1534517224047805;2019.0;8.3;0.31
2019-10-25;-0.1213541113324297;-0.5;-0.07142857142857142;66.44;-0.001819980719971248;;2019.0;8.3;0.31
2019-12-13;-0.12556678009332345;-0.25;-0.038461538461538464;63.82;0.0024623283592202228;-0.1394547851391626;2019.0;8.3;0.31
2020-02-07;-0.12441061585807735;-0.25;-0.04;69.02;-0.019735771002251212;-0.1422230187299099;2020.0;9.3;0.33
2020-03-20;-0.1557968800536564;0.0;0.0;81.62;0.012580588402988369;-0.14638777743076314;2020.0;9.3;0.33
2020-04-24;-0.12399022030558733;-0.5;-0.08333333333333333;87.8;-0.004257013451231195;-0.14061487687355054;2020.0;9.3;0.33
2020-06-19;-0.1379556663928483;-1.0;-0.18181818181818182;82.92;-0.0029775968486838167;-0.1429093661573584;2020.0;9.3;0.33
2020-07-24;-0.12180728474126973;-0.25;-0.05555555555555555;92.96;0.014381283126615685;-0.13920980497164515;2020.0;9.3;0.33
2020-09-18;-0.12318099611644807;0.0;0.0;100.32;0.014437433196400562;-0.157319071822269;2020.0;9.3;0.33
2020-10-23;-0.123185351960493;0.0;0.0;98.36;0.01464049697976666;-0.14231132729136342;2020.0;9.3;0.33
2020-12-18;-0.11995192933485894;0.0;0.0;93.46;0.014098803539831728;-0.16157926633088893;2020.0;9.3;0.33
2021-02-12;-0.1248019770342586;0.0;0.0;90.7;0.011206149471411742;-0.13008836019213327;2021.0;9.8;0.32
2021-03-19;-0.1148573958518946;0.25;0.058823529411764705;87.48;-0.026473007384630876;-0.15018095127017472;2021.0;9.8;0.32
2021-04-23;-0.11857337892651892;0.5;0.1111111111111111;90.04;-0.003010947467378955;-0.14594757290526714;2021.0;9.8;0.32
2021-06-11;-0.1055485986997703;0.5;0.1;91.3;-0.008703137564118002;-0.13190653644681916;2021.0;9.8;0.32
2021-07-23;-0.11857289670583515;1.0;0.18181818181818182;89.46;0.0010419558549683572;-0.1456312106635828;2021.0;9.8;0.32
2021-09-10;-0.12678268000209866;0.25;0.038461538461538464;88.18;7.080523253666371e-05;-0.15512573923587047;2021.0;9.8;0.32
2021-10-22;-0.12565610216234602;0.75;0.1111111111111111;84.94;-0.01168218861419934;-0.16170126575842092;2021.0;9.8;0.32
2021-12-17;-0.1441964278084108;1.0;0.13333333333333333;89.32;0.00586138780104406;-0.1503028419672405;2021.0;9.8;0.32
