date;tonepr;rate_shock_abs;rate_shock_rel;close;spread;toneev;year;trans;trust
2013-10-14;-3.9663142380360257;0.0;0.0;313.42;0.01595430689897981;;2013.0;3.5;
2013-11-08;-4.879730164752349;0.0;0.0;314.75;-0.07622193655150156;;2013.0;3.5;
2013-12-13;-4.583010579059484;0.0;0.0;316.02;0.0569746478236155;;2013.0;3.5;
2014-02-14;-7.115753204379045;0.0;0.0;318.23;0.10375238696571643;-8.935623510196278;2014.0;6.2;0.36
2014-03-03;-3.6033172251667085;0.0;0.0;315.48;-0.24693715653807402;;2014.0;6.2;0.36
2014-03-14;-8.123946743760223;0.0;0.0;311.65;0.6438135870789452;;2014.0;6.2;0.36
2014-04-25;-6.852045907510162;0.5;0.07142857142857142;313.02;-0.385811558679805;;2014.0;6.2;0.36
2014-06-16;-6.204978674133912;0.0;0.0;319.25;0.02819504725684041;-8.390548496021786;2014.0;6.2;0.36
2014-07-25;-5.930010197789854;0.5;0.06666666666666667;317.6;-0.30808914935107623;;2014.0;6.2;0.36
2014-09-12;-5.80073801013683;0.0;0.0;320.5;0.018722501380885603;-7.212114985002717;2014.0;6.2;0.36
2014-10-31;-7.8620151245781535;1.5;0.1875;321.2;-0.14932805164118435;;2014.0;6.2;0.36
2014-12-11;-6.766651719138959;1.0;0.10526315789473684;307.46;-1.1801549907674236;-9.310849410836532;2014.0;6.2;0.36
2014-12-16;-2.1958892020342677;0.0;0.0;297.44;2.536608434577925;;2014.0;6.2;0.36
2015-01-30;-6.722367496937038;-2.0;-0.11764705882352941;306.49;0.7269663294493078;;2015.0;7.2;0.46
2015-03-13;-5.121355845086528;-1.0;-0.06666666666666667;318.09;-0.25432124101953946;-8.869886752654205;2015.0;7.2;0.46
2015-04-30;-6.357559135066115;-1.5;-0.10714285714285714;338.34;0.5869292082448574;;2015.0;7.2;0.46
2015-06-15;-6.702271100625785;-1.0;-0.08;350.27;0.028553480863280356;-9.070159373225193;2015.0;7.2;0.46
2015-07-31;-4.965063311513991;-0.5;-0.043478260869565216;353.83;-0.21738218404632192;;2015.0;7.2;0.46
2015-09-11;-5.917393391912702;0.0;0.0;348.19;0.0;-7.572947587883636;2015.0;7.2;0.46
2015-10-30;-5.713729522307707;0.0;0.0;355.87;0.030914941999693468;;2015.0;7.2;0.46
2015-12-11;-6.165860047144953;0.0;0.0;358.27;-0.17569060670492576;-9.343946130718301;2015.0;7.2;0.46
2016-01-29;-6.873474388452071;0.0;0.0;362.21;0.016566348262525565;;2016.0;7.3;0.42
2016-03-18;-5.701132764428126;0.0;0.0;366.4;0.013647219400159116;-8.11760735565921;2016.0;7.3;0.42
2016-04-29;-4.285522624905351;0.0;0.0;367.55;0.048984924508577166;;2016.0;7.3;0.42
2016-06-10;-5.141967837852538;-0.5;-0.045454545454545456;367.68;-0.2824553751861636;-9.193270211467983;2016.0;7.3;0.42
2016-07-29;-5.153685756911098;0.0;0.0;374.61;0.08011537041232586;;2016.0;7.3;0.42
2016-09-16;-5.3945856676447;-0.5;-0.047619047619047616;375.99;-0.19131133774417108;-10.85829096445404;2016.0;7.3;0.42
2016-10-28;-4.247185051924369;0.0;0.0;379.54;0.10544631124140835;;2016.0;7.3;0.42
2016-12-16;-5.224522362458918;0.0;0.0;384.85;0.012992918877507975;-10.216359289229997;2016.0;7.3;0.42
2017-02-03;-5.972102867541159;0.0;0.0;390.07;0.04872107282727356;;2017.0;7.3;0.42
2017-03-24;-5.976451086367311;-0.25;-0.025;393.17;0.035614347870716045;-10.138329717317747;2017.0;7.3;0.42
2017-04-28;-5.21082435941742;-0.5;-0.05128205128205128;398.35;0.150734860847912;;2017.0;7.3;0.42
2017-06-16;-7.684616045968009;-0.25;-0.02702702702702703;402.86;-0.03722684843268098;-10.174987300916673;2017.0;7.3;0.42
2017-07-28;-6.918267496173505;0.0;0.0;406.31;0.06647381299744737;;2017.0;7.3;0.42
2017-09-15;-6.07203453661727;-0.5;-0.05555555555555555;413.72;0.1475515186124099;-9.913927689711194;2017.0;7.3;0.42
2017-10-27;-6.287036696946751;-0.25;-0.029411764705882353;418.55;0.1314924581309107;;2017.0;7.3;0.42
2017-12-15;-5.998248009886984;-0.5;-0.06060606060606061;425.18;0.1459270153276293;-11.196960498692736;2017.0;7.3;0.42
2018-02-09;-6.401688974617332;-0.25;-0.03225806451612903;432.21;0.10880260347603254;;2018.0;8.3;0.37
2018-03-23;-5.552171264241022;-0.25;-0.03333333333333333;438.2;0.022823234151303495;-9.722331379666498;2018.0;8.3;0.37
2018-04-27;-8.344887492231212;0.0;0.0;438.76;0.11402249758756255;;2018.0;8.3;0.37
2018-06-15;-6.937044868810566;0.0;0.0;438.26;-0.3007384021869619;-10.920530030516979;2018.0;8.3;0.37
2018-07-27;-6.639924651131026;0.0;0.0;440.98;0.04763254980897358;;2018.0;8.3;0.37
2018-09-14;-5.499105185917299;0.25;0.034482758620689655;437.97;-0.15514136943943768;-9.19299204523229;2018.0;8.3;0.37
2018-10-26;-6.27864300831847;0.0;0.0;442.97;0.09034036344024443;;2018.0;8.3;0.37
2018-12-14;-5.679919386241788;0.25;0.03333333333333333;446.96;0.12312929010089846;-7.63212588713131;2018.0;8.3;0.37
2019-02-08;-5.475785033299257;0.0;0.0;455.39;0.07908438276027496;;2019.0;8.3;0.31
2019-03-22;-5.734642773662598;0.0;0.0;460.55;0.05212518850505887;-10.016770691126691;2019.0;8.3;0.31
2019-04-26;-6.678236802449576;0.0;0.0;463.91;0.14237027298014127;;2019.0;8.3;0.31
2019-06-14;-6.502453963007933;-0.25;-0.03225806451612903;473.01;0.14598079454470891;-9.733010654624437;2019.0;8.3;0.31
2019-07-26;-5.605500660743729;-0.25;-0.03333333333333333;480.1;-0.014579232949873955;;2019.0;8.3;0.31
2019-09-06;-6.138628403532102;-0.25;-0.034482758620689655;486.73;0.05548762460110268;-10.698152053449348;2019.0;8.3;0.31
2019-10-25;-5.6597367935254175;-0.5;-0.07142857142857142;497.06;0.15704595814378663;;2019.0;8.3;0.31
2019-12-13;-5.856208063622337;-0.25;-0.038461538461538464;503.39;0.00993314990926919;-9.722331379666498;2019.0;8.3;0.31
2020-02-07;-5.802286649755645;-0.25;-0.04;510.57;0.1018988546166888;-9.91532356906116;2020.0;9.3;0.33
2020-03-20;-7.266085381653719;0.0;0.0;500.48;0.11995682993086731;-10.205676920261253;2020.0;9.3;0.33
2020-04-24;-5.7826801597065;-0.5;-0.08333333333333333;517.72;0.07342569842760938;-9.803209180032233;2020.0;9.3;0.33
2020-06-19;-6.434003367385449;-1.0;-0.18181818181818182;529.86;-0.04339827418462505;-9.963173466248818;2020.0;9.3;0.33
2020-07-24;-5.680871983653696;-0.25;-0.05555555555555555;532.87;0.0882405456826163;-9.705252163864229;2020.0;9.3;0.33
2020-09-18;-5.744939403606889;0.0;0.0;534.77;-0.014958583450042084;-10.96777100241738;2020.0;9.3;0.33
2020-10-23;-5.745142552313903;0.0;0.0;536.94;0.020488559074038903;-9.921480153055436;2020.0;9.3;0.33
2020-12-18;-5.594341555113338;0.0;0.0;540.02;-0.02962414389378054;-11.264777825907201;2020.0;9.3;0.33
2021-02-12;-5.820539028880427;0.0;0.0;541.17;-0.05357324421755294;-9.06933487555284;2021.0;9.8;0.32
2021-03-19;-5.3567417055260815;0.25;0.058823529411764705;537.61;-0.23409642081819726;-10.47012459059856;2021.0;9.8;0.32
2021-04-23;-5.530048451384545;0.5;0.1111111111111111;535.28;-0.3692174183348662;-10.174987300916673;2021.0;9.8;0.32
2021-06-11;-4.9225962021980605;0.5;0.1;526.6;0.0816892624053267;-9.196092175684617;2021.0;9.8;0.32
2021-07-23;-5.530025961481924;1.0;0.18181818181818182;526.89;-0.06071530401872138;-10.152931560437063;2021.0;9.8;0.32
2021-09-10;-5.912915441521451;0.25;0.038461538461538464;530.04;0.06039103376718202;-10.814859030199948;2021.0;9.8;0.32
2021-10-22;-5.860373883757891;0.75;0.1111111111111111;523.68;-0.404010154291079;-11.27328322686144;2021.0;9.8;0.32
2021-12-17;-6.725061219611952;1.0;0.13333333333333333;524.84;0.21171698877946454;-10.478622411220416;2021.0;9.8;0.32
