date;tonepr;rate_shock_abs;rate_shock_rel;close;spread;toneev;year;trans;trust
2013-10-14;-3.9663142380360203;0.0;0.0;325.56;-0.04606384530303487;;2013.0;3.5;
2013-11-08;-4.8797301647523454;0.0;0.0;326.4;-0.11329364164796019;;2013.0;3.5;
2013-12-13;-4.58301057905948;0.0;0.0;326.09;0.07055756102207766;;2013.0;3.5;
2014-02-14;-7.115753204379039;0.0;0.0;325.37;0.024590416009306892;-8.935623510196267;2014.0;6.2;0.36
2014-03-03;-3.603317225166705;0.0;0.0;318.67;0.2167596859066201;;2014.0;6.2;0.36
2014-03-14;-8.123946743760218;0.0;0.0;312.19;0.6555925399689855;;2014.0;6.2;0.36
2014-04-25;-6.85204590751016;0.5;0.07142857142857142;313.35;-0.43308031897053567;;2014.0;6.2;0.36
2014-06-16;-6.204978674133906;0.0;0.0;324.21;-0.20644293948590686;-8.390548496021779;2014.0;6.2;0.36
2014-07-25;-5.93001019778985;0.5;0.06666666666666667;318.4;-0.5949602644884422;;2014.0;6.2;0.36
2014-09-12;-5.8007380101368256;0.0;0.0;317.69;-0.06608033721162698;-7.212114985002708;2014.0;6.2;0.36
2014-10-31;-7.862015124578151;1.5;0.1875;316.85;-0.11985870725856884;;2014.0;6.2;0.36
2014-12-11;-6.766651719138954;1.0;0.10526315789473684;289.13;-1.8062972894499651;-9.310849410836527;2014.0;6.2;0.36
2014-12-16;-2.1958892020342633;0.0;0.0;268.2;3.6721229474249384;;2014.0;6.2;0.36
2015-01-30;-6.722367496937032;-2.0;-0.11764705882352941;281.76;-0.05676979999194032;;2015.0;7.2;0.46
2015-03-13;-5.121355845086526;-1.0;-0.06666666666666667;294.21;-0.5220704786157881;-8.869886752654194;2015.0;7.2;0.46
2015-04-30;-6.35755913506611;-1.5;-0.10714285714285714;328.51;1.3669453987914082;;2015.0;7.2;0.46
2015-06-15;-6.702271100625779;-1.0;-0.08;332.91;-0.49440524997406143;-9.070159373225184;2015.0;7.2;0.46
2015-07-31;-4.965063311513989;-0.5;-0.043478260869565216;338.52;0.15964526672274104;;2015.0;7.2;0.46
2015-09-11;-5.917393391912699;0.0;0.0;329.87;0.1243686933243282;-7.572947587883631;2015.0;7.2;0.46
2015-10-30;-5.713729522307703;0.0;0.0;350.46;-0.07416070393233554;;2015.0;7.2;0.46
2015-12-11;-6.165860047144949;0.0;0.0;345.34;-0.35842332278148703;-9.343946130718296;2015.0;7.2;0.46
2016-01-29;-6.873474388452066;0.0;0.0;347.73;-0.07474271606513483;;2016.0;7.3;0.42
2016-03-18;-5.701132764428124;0.0;0.0;364.44;-0.12614145967440038;-8.1176073556592;2016.0;7.3;0.42
2016-04-29;-4.2855226249053455;0.0;0.0;364.96;-0.19161813642805114;;2016.0;7.3;0.42
2016-06-10;-5.141967837852535;-0.5;-0.045454545454545456;366.25;0.030038640840857056;-9.193270211467974;2016.0;7.3;0.42
2016-07-29;-5.153685756911096;0.0;0.0;368.97;0.14103227094199866;;2016.0;7.3;0.42
2016-09-16;-5.3945856676446935;-0.5;-0.047619047619047616;371.37;-0.166810197956746;-10.858290964454033;2016.0;7.3;0.42
2016-10-28;-4.247185051924367;0.0;0.0;371.4;-0.010769479306027563;;2016.0;7.3;0.42
2016-12-16;-5.224522362458913;0.0;0.0;380.37;-0.036799495736428156;-10.21635928922999;2016.0;7.3;0.42
2017-02-03;-5.9721028675411585;0.0;0.0;388.17;-0.09527366146633298;;2017.0;7.3;0.42
2017-03-24;-5.976451086367306;-0.25;-0.025;392.45;0.08412251792968561;-10.138329717317736;2017.0;7.3;0.42
2017-04-28;-5.210824359417417;-0.5;-0.05128205128205128;399.74;-0.00750459656897462;;2017.0;7.3;0.42
2017-06-16;-7.684616045968005;-0.25;-0.02702702702702703;401.14;-0.12207732248423753;-10.174987300916666;2017.0;7.3;0.42
2017-07-28;-6.918267496173502;0.0;0.0;404.78;0.06672515662309308;;2017.0;7.3;0.42
2017-09-15;-6.072034536617264;-0.5;-0.05555555555555555;415.38;0.0024074631357784426;-9.913927689711187;2017.0;7.3;0.42
2017-10-27;-6.287036696946749;-0.25;-0.029411764705882353;420.37;0.09758072008230201;;2017.0;7.3;0.42
2017-12-15;-5.998248009886979;-0.5;-0.06060606060606061;428.47;0.14948035015063255;-11.196960498692725;2017.0;7.3;0.42
2018-02-09;-6.40168897461733;-0.25;-0.03225806451612903;439.92;0.07276696700930785;;2018.0;8.3;0.37
2018-03-23;-5.552171264241019;-0.25;-0.03333333333333333;448.03;0.03571827250832271;-9.722331379666493;2018.0;8.3;0.37
2018-04-27;-8.344887492231209;0.0;0.0;444.8;0.10347077873911203;;2018.0;8.3;0.37
2018-06-15;-6.937044868810563;0.0;0.0;439.96;-0.6840808610212967;-10.920530030516973;2018.0;8.3;0.37
2018-07-27;-6.639924651131021;0.0;0.0;441.55;0.14731715509199717;;2018.0;8.3;0.37
2018-09-14;-5.499105185917293;0.25;0.034482758620689655;430.55;-0.1717256525232358;-9.192992045232284;2018.0;8.3;0.37
2018-10-26;-6.2786430083184674;0.0;0.0;438.21;0.37266129846118545;;2018.0;8.3;0.37
2018-12-14;-5.679919386241783;0.25;0.03333333333333333;440.18;0.009087604513702274;-7.632125887131304;2018.0;8.3;0.37
2019-02-08;-5.475785033299253;0.0;0.0;453.5;0.11693714307039471;;2019.0;8.3;0.31
2019-03-22;-5.7346427736625945;0.0;0.0;458.41;0.09384651328776528;-10.016770691126686;2019.0;8.3;0.31
2019-04-26;-6.678236802449574;0.0;0.0;462.18;0.20142302381929156;;2019.0;8.3;0.31
2019-06-14;-6.502453963007931;-0.25;-0.03225806451612903;474.21;0.17729378417268293;-9.733010654624428;2019.0;8.3;0.31
2019-07-26;-5.605500660743724;-0.25;-0.03333333333333333;484.36;-0.06398150946314018;;2019.0;8.3;0.31
2019-09-06;-6.1386284035321;-0.25;-0.034482758620689655;493.68;-0.014178220252070162;-10.698152053449343;2019.0;8.3;0.31
2019-10-25;-5.659736793525415;-0.5;-0.07142857142857142;509.07;0.18482113007820544;;2019.0;8.3;0.31
2019-12-13;-5.856208063622333;-0.25;-0.038461538461538464;514.65;0.007772574474884664;-9.722331379666493;2019.0;8.3;0.31
2020-02-07;-5.802286649755642;-0.25;-0.04;525.85;0.1103584859701634;-9.915323569061155;2020.0;9.3;0.33
2020-03-20;-7.266085381653717;0.0;0.0;497.59;-0.168671351810179;-10.205676920261244;2020.0;9.3;0.33
2020-04-24;-5.782680159706497;-0.5;-0.08333333333333333;534.33;0.005614665507813754;-9.803209180032225;2020.0;9.3;0.33
2020-06-19;-6.434003367385446;-1.0;-0.18181818181818182;553.28;-0.2707436269293595;-9.963173466248813;2020.0;9.3;0.33
2020-07-24;-5.680871983653693;-0.25;-0.05555555555555555;556.21;0.05934771640534464;-9.705252163864218;2020.0;9.3;0.33
2020-09-18;-5.744939403606884;0.0;0.0;553.83;0.028893905392823882;-10.967771002417372;2020.0;9.3;0.33
2020-10-23;-5.745142552313896;0.0;0.0;559.26;0.04113423230878155;-9.921480153055429;2020.0;9.3;0.33
2020-12-18;-5.594341555113335;0.0;0.0;561.24;-0.14244002123433575;-11.264777825907192;2020.0;9.3;0.33
2021-02-12;-5.820539028880425;0.0;0.0;556.92;-0.041290045197772685;-9.069334875552832;2021.0;9.8;0.32
