date,OPEN,MAX,MIN,CLOSE,VOLUME,CAP,DURATION,YIELD
14 04 17,427.27,428.30,427.27,427.96,6 688 648 405,3 264 796 789 606.58,1 701,8.19
17 04 17,428.27,428.42,427.89,428.42,5 558 636 834,3 268 319 305 816.55,1 698,8.18
18 04 17,428.59,428.76,428.18,428.29,9 592 298 414,3 267 319 553 407.72,1 697,8.19
19 04 17,427.73,428.45,427.24,428.44,17 228 459 390,3 268 494 956 601.41,1 699,8.14
20 04 17,429.30,430.06,428.77,430.05,18 273 240 514,3 275 032 507 583.82,1 700,8.10
21 04 17,430.09,432.03,430.06,432.03,21 993 055 807,3 290 125 693 825.61,1 701,7.97
24 04 17,432.27,434.30,432.27,433.90,9 533 711 701,3 304 367 722 336.42,1 701,7.88
25 04 17,434.10,434.38,433.08,433.45,8 328 789 483,3 300 932 280 996.18,1 700,7.92
26 04 17,433.56,433.56,432.96,433.30,7 580 894 488,3 299 799 847 562.79,1 698,7.93
27 04 17,433.42,433.56,433.08,433.17,5 860 647 180,3 298 807 967 927.52,1 698,7.95
28 04 17,433.33,434.79,433.30,434.76,13 297 758 086,3 310 941 855 032.12,1 700,7.88
02 05 17,435.11,435.53,434.80,435.45,3 752 063 070,3 316 226 312 687.69,1 697,7.86
03 05 17,435.55,435.91,435.23,435.71,8 186 530 607,3 318 050 074 370.76,1 721,7.86
04 05 17,435.87,435.87,434.69,434.69,7 532 098 601,3 310 534 940 912.65,1 719,7.92
05 05 17,434.55,434.60,432.69,433.02,15 559 649 221,3 298 004 484 256.96,1 713,8.02
10 05 17,433.31,434.93,432.62,434.67,9 390 566 194,3 310 481 746 065.8,1 710,7.95
11 05 17,434.42,436.56,434.42,436.35,11 833 198 305,3 322 876 524 985.32,1 713,7.87
12 05 17,436.55,436.81,436.22,436.79,17 825 311 903,3 326 031 112 076.51,1 713,7.85
15 05 17,437.11,437.60,437.02,437.35,7 546 606 308,3 330 332 020 417.76,1 711,7.84
16 05 17,437.48,437.91,437.20,437.20,12 139 573 573,3 329 264 003 985.97,1 710,7.86
17 05 17,437.30,437.60,436.61,436.61,6 010 860 618,3 314 604 551 823.72,1 708,7.86
18 05 17,436.70,436.70,435.23,435.53,7 587 262 153,3 306 445 985 991.93,1 706,7.95
