date,CLOSE,"Объем, RUB","Капитализация, RUB","Дюрация индекса, дней","Доходность индекса, %"
13 05 22,534.37,624 418 174,1 581 881 119 792.41,616.00,10.22
12 05 22,534.09,3 066 921 872,1 581 059 357 094.3,617.00,10.24
11 05 22,534.18,607 864 194,1 580 085 597 837.38,618.00,10.21
06 05 22,533.37,343 273 920,1 578 923 184 290.47,623.00,10.22
05 05 22,532.18,879 068 417,1 575 391 979 480.19,623.00,10.35
04 05 22,532.82,256 409 307,1 576 041 162 869.89,625.00,10.24
29 04 22,533.44,1 530 700 473,1 579 121 969 252.08,630.00,10.08
28 04 22,532.90,2 212 656 780,1 577 536 369 959.11,631.00,10.13
27 04 22,533.05,2 092 651 684,1 577 988 599 102.67,632.00,10.11
26 04 22,533.09,755 912 677,1 578 111 488 119.95,633.00,10.13
25 04 22,531.76,822 397 764,1 573 545 764 219.67,634.00,10.32
22 04 22,531.93,3 240 996 150,1 574 649 728 949.45,638.00,10.26
21 04 22,531.88,3 420 958 889,1 574 499 686 852.91,639.00,10.25
20 04 22,530.95,2 914 033 930,1 584 126 366 100.9,640.00,10.35
19 04 22,528.82,532 788 770,1 577 761 085 985.98,635.00,10.58
18 04 22,524.80,668 971 011,1 565 159 371 371.38,636.00,11.04
15 04 22,521.60,337 087 909,1 556 215 700 650.87,638.00,11.40
14 04 22,521.75,391 194 986,1 556 658 251 998.23,639.00,11.38
13 04 22,520.78,282 986 148,1 553 743 194 412.87,640.00,11.48
12 04 22,519.11,178 249 335,1 548 756 741 829.99,641.00,11.67
11 04 22,519.09,351 308 838,1 548 076 426 098.4,642.00,11.66
08 04 22,516.61,1 714 912 157,1 541 290 200 626.47,645.00,11.93
07 04 22,508.16,757 608 148,1 516 095 468 024.13,645.00,12.93
06 04 22,508.15,701 313 615,1 520 073 899 351.12,646.00,12.92
05 04 22,508.11,1 046 189 488,1 519 979 186 043.64,645.00,12.90
04 04 22,506.92,194 956 247,1 515 797 037 382.01,646.00,13.02
01 04 22,507.40,682 540 652,1 517 866 481 582.85,649.00,12.91
31 03 22,507.46,2 323 721 061,1 518 039 132 701.53,651.00,12.96
30 03 22,499.79,446 824 098,1 495 103 162 148.34,650.00,13.84
29 03 22,490.94,2 041 157 692,1 468 623 215 174.08,650.00,14.94
28 03 22,488.34,1 254 414 545,1 460 223 895 281.77,650.00,15.26
25 03 22,493.70,1 139 825 134,1 490 831 515 230.42,652.00,13.64
24 03 22,482.70,1 159 386 933,1 460 596 651 070.3,654.00,15.32
25 02 22,489.07,16 437 343 223,1 487 997 173 921.67,678.00,13.79
24 02 22,473.04,8 199 628 269,1 438 910 198 292.25,677.00,15.99
22 02 22,509.25,5 618 668 685,1 549 404 141 164.27,684.00,11.27
21 02 22,513.69,4 150 863 724,1 562 301 195 563.24,685.00,10.70
18 02 22,518.07,2 395 105 790,1 576 255 450 210.72,689.00,10.18
17 02 22,517.96,2 279 961 112,1 575 913 353 238.44,690.00,10.17
16 02 22,519.04,1 320 145 307,1 587 908 181 351.99,691.00,10.04
15 02 22,517.48,3 786 542 388,1 583 151 595 634.28,688.00,10.20
14 02 22,515.89,3 435 209 773,1 577 657 107 411.95,689.00,10.35
11 02 22,519.20,3 816 227 967,1 588 413 548 998.02,692.00,9.94
10 02 22,521.91,1 494 916 836,1 596 702 862 165.63,694.00,9.64
09 02 22,522.01,1 688 777 895,1 597 005 808 776.58,695.00,9.61
08 02 22,522.47,2 573 517 469,1 598 428 204 090.96,696.00,9.55
07 02 22,521.96,3 811 692 183,1 596 257 554 420.3,697.00,9.58
