BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE
SNDX,IMOEX,10.02.2010,Индекс МосБиржи,Индекс МосБиржи,"1327,24","1338,16","1359,12","1319,68","63097260888,00"
SNDX,IMOEX,11.02.2010,Индекс МосБиржи,Индекс МосБиржи,"1329,35","1327,24","1348,20","1320,55","56200648365,00"
SNDX,IMOEX,12.02.2010,Индекс МосБиржи,Индекс МосБиржи,"1304,86","1329,37","1346,22","1294,21","57766349695,00"
SNDX,IMOEX,15.02.2010,Индекс МосБиржи,Индекс МосБиржи,"1319,22","1304,88","1319,37","1301,80","27769398404,00"
SNDX,IMOEX,16.02.2010,Индекс МосБиржи,Индекс МосБиржи,"1361,49","1319,22","1361,87","1319,22","50827923923,00"
SNDX,IMOEX,17.02.2010,Индекс МосБиржи,Индекс МосБиржи,"1354,09","1361,49","1373,22","1350,12","48901078422,00"
SNDX,IMOEX,18.02.2010,Индекс МосБиржи,Индекс МосБиржи,"1338,77","1354,07","1354,07","1324,90","53096951615,00"
SNDX,IMOEX,19.02.2010,Индекс МосБиржи,Индекс МосБиржи,"1353,75","1338,77","1354,05","1310,65","55036903892,00"
SNDX,IMOEX,24.02.2010,Индекс МосБиржи,Индекс МосБиржи,"1334,53","1353,75","1353,75","1324,49","45100893132,00"
SNDX,IMOEX,25.02.2010,Индекс МосБиржи,Индекс МосБиржи,"1306,46","1334,33","1334,42","1297,14","45261100404,00"
SNDX,IMOEX,26.02.2010,Индекс МосБиржи,Индекс МосБиржи,"1323,72","1306,50","1324,57","1306,50","41518987892,00"
SNDX,IMOEX,27.02.2010,Индекс МосБиржи,Индекс МосБиржи,"1332,64","1323,72","1333,55","1322,34","12464064955,00"
SNDX,IMOEX,01.03.2010,Индекс МосБиржи,Индекс МосБиржи,"1356,27","1332,97","1358,04","1332,97","55518217686,00"
