date,CLOSE,"Объем, RUB","Капитализация, RUB","Дюрация индекса, дней","Доходность индекса, %"
14 12 21,520.36,7 421 021 883,1 922 113 650 920.44,1 367,8.73
13 12 21,521.52,3 226 135 658,1 925 657 123 747.42,1 368,8.65
10 12 21,521.21,8 398 076 084,1 925 247 599 485.56,1 371,8.66
09 12 21,520.58,958 030 198,1 922 930 290 945.28,1 372,8.68
08 12 21,520.02,5 306 927 975,1 920 860 162 358.08,1 373,8.71
07 12 21,519.28,9 857 632 814,1 918 118 992 387.06,1 373,8.74
06 12 21,521.17,3 010 142 340,1 924 377 700 968.74,1 375,8.63
03 12 21,521.69,5 115 734 988,1 927 412 263 772.26,1 379,8.58
02 12 21,520.14,515 046 168,1 921 693 419 532.48,1 379,8.67
01 12 21,521.47,2 014 697 901,1 926 618 162 358.08,1 381,8.58
30 11 21,520.54,3 121 467 867,1 926 120 500 000,1 381,8.63
29 11 21,520.47,3 717 909 949,1 925 859 000 000,1 382,8.62
26 11 21,517.12,1 517 406 152,1 913 459 500 000,1 384,8.79
25 11 21,516.90,4 224 262 051,1 912 635 000 000,1 385,8.80
24 11 21,515.34,2 438 911 508,1 906 877 500 000,1 386,8.88
23 11 21,514.05,9 643 725 790,1 902 108 000 000,1 387,8.94
22 11 21,515.40,2 513 881 110,1 907 096 500 000,1 388,8.86
19 11 21,518.87,2 026 379 216,1 919 923 500 000,1 392,8.65
18 11 21,520.48,5 607 691 352,1 925 891 000 000,1 394,8.55
17 11 21,522.61,3 034 246 556,1 933 773 000 000,1 395,8.43
16 11 21,522.41,4 549 023 439,1 949 079 500 000,1 385,8.44
15 11 21,524.57,423 052 239,1 957 138 000 000,1 387,8.31
12 11 21,524.94,1 630 027 427,1 958 516 000 000,1 390,8.27
11 11 21,526.30,7 807 765 182,1 963 601 500 000,1 391,8.20
10 11 21,526.05,2 827 507 536,1 962 670 000 000,1 392,8.20
09 11 21,524.68,5 862 117 477,1 957 548 000 000,1 393,8.27
08 11 21,523.24,882 993 240,1 952 187 500 000,1 393,8.34
05 11 21,521.99,53 681 142,1 947 525 000 000,1 396,8.39
03 11 21,521.47,1 106 232 491,1 945 569 000 000,1 398,8.41
02 11 21,520.88,7 665 141 593,1 943 373 500 000,1 399,8.43
01 11 21,521.20,8 789 466 435,1 944 577 500 000,1 400,8.41
29 10 21,522.01,5 189 420 652,1 947 594 000 000,1 403,8.35
28 10 21,521.33,16 016 961 344,1 945 039 000 000,1 404,8.37
27 10 21,524.67,10 705 024 595,1 957 510 000 000,1 406,8.19
26 10 21,524.97,18 872 376 085,1 958 647 500 000,1 407,8.17
25 10 21,526.92,22 724 986 331,1 965 934 500 000,1 409,8.06
22 10 21,530.30,18 130 249 962,1 978 529 500 000,1 413,7.86
21 10 21,535.33,14 761 729 184,1 997 286 000 000,1 416,7.59
20 10 21,536.29,1 824 121 382,2 000 858 000 000,1 417,7.54
19 10 21,537.35,606 407 111,2 004 820 500 000,1 418,7.48
18 10 21,537.02,5 237 921 702,2 003 601 000 000,1 419,7.49
15 10 21,538.40,2 827 101 782,2 008 754 500 000,1 423,7.40
14 10 21,538.27,8 387 231 645,2 008 285 000 000,1 424,7.40
13 10 21,537.75,5 743 956 681,2 006 332 000 000,1 425,7.42
12 10 21,537.36,1 256 638 277,2 018 726 500 000,1 416,7.44
11 10 21,537.90,86 613 096,2 020 759 000 000,1 417,7.40
