date,CLOSE,"Объем, RUB","Капитализация, RUB","Дюрация индекса, дней","Доходность индекса, %"
08 01 13,317.62,2 108,0,2 413,6.91
09 01 13,319.72,627 219 901.58,0,2 415,6.79
10 01 13,324.17,2 542 065 079.63,0,2 423,6.57
11 01 13,322.85,1 567 881 363.69,0,2 418,6.64
14 01 13,323.42,1 157 426 626.93,0,2 416,6.62
15 01 13,322.63,768 500 663.18,0,2 413,6.66
16 01 13,321.12,1 038 397 368.23,0,2 409,6.74
17 01 13,320.69,1 082 555 239.66,0,2 407,6.76
18 01 13,321.79,596 558 371.59,0,2 409,6.71
21 01 13,321.23,64 824 179.17,0,2 404,6.75
22 01 13,321.54,372 268 096.74,0,2 403,6.74
23 01 13,321.99,290 607 294.56,0,2 401,6.71
24 01 13,322.21,732 264 590.58,0,2 402,6.7
25 01 13,323.75,345 369 601.05,0,2 404,6.63
28 01 13,323.86,865 922 260.26,0,2 400,6.63
29 01 13,323.35,1 557 890 662.04,0,2 398,6.66
30 01 13,323.37,1 401 753 014.78,0,2 414,6.66
31 01 13,322.44,563 887 781.19,0,2 411,6.71
01 02 13,322.38,535 178 980.22,0,2 410,6.72
04 02 13,322.23,1 396 339 420.44,0,2 405,6.73
05 02 13,321.65,1 197 887 877.25,0,2 403,6.77
06 02 13,322.69,2 755 069 650.96,0,2 405,6.71
07 02 13,322.45,2 780 743 126.79,0,2 404,6.74
08 02 13,323.16,781 348 531.86,0,2 404,6.7
11 02 13,323.46,1 177 238 012.2,0,2 401,6.69
12 02 13,323.05,702 742 140.99,0,2 399,6.72
13 02 13,323.21,1 553 714 810.62,0,2 398,6.71
14 02 13,323.04,465 438 802.37,0,2 396,6.72
15 02 13,322.88,289 172 201.23,0,2 394,6.73
18 02 13,322.94,374 140 454.43,0,2 390,6.73
19 02 13,322.78,398 912 952.62,0,2 389,6.74
20 02 13,322.91,3 744 904 324.01,0,2 406,6.74
21 02 13,322.17,3 531 412 650.74,0,2 402,6.77
22 02 13,321.72,652 372 983.75,0,2 400,6.8
25 02 13,322.28,901 914 185.22,0,2 398,6.78
26 02 13,321.32,355 493 387.46,0,2 396,6.83
27 02 13,322.19,544 629 692.73,0,2 396,6.79
28 02 13,322.21,391 378 656.34,0,2 394,6.79
01 03 13,322.15,305 480 850.42,0,2 410,6.86
04 03 13,322.29,165 053 777.8,0,2 406,6.86
05 03 13,322.35,863 477 439.85,0,2 405,6.87
06 03 13,322.2,638 431 249,0,2 408,6.87
07 03 13,322.08,723 712 546.81,0,2 407,6.88
11 03 13,321.85,6 389 997.41,0,2 402,6.91
12 03 13,321.71,450 052 736.81,0,2 400,6.91
13 03 13,321.42,2 725 336 531.8,0,2 399,6.93
14 03 13,321.18,915 048 054.48,0,2 396,6.94
15 03 13,320.96,410 824 364.96,0,2 395,6.96
18 03 13,320.42,806 528 181.56,0,2 389,6.99
19 03 13,320.63,689 406 917.27,0,2 390,6.99
20 03 13,320.87,1 123 984 883.22,0,2 389,6.98
21 03 13,320.69,780 433 062.99,0,2 388,6.99
22 03 13,320.71,1 178 851 446.86,0,2 387,7
25 03 13,321.09,731 211 570.7,0,2 385,6.99
26 03 13,320.94,104 618 300.11,0,2 383,7
27 03 13,320.81,13 435 640 084.45,0,2 382,7.01
28 03 13,320.19,1 397 475 703.85,0,2 382,7.05
29 03 13,322.01,239 249 294.13,0,2 383,6.95
01 04 13,322.14,415 485 751.73,0,2 378,6.95
02 04 13,322.44,497 078 518.07,0,2 378,6.94
03 04 13,320.74,750 440 402.5,0,2 372,7.02
04 04 13,322.69,1 102 311 981.75,0,2 376,6.94
05 04 13,324.28,2 131 791 513.08,0,2 379,6.86
08 04 13,326.32,2 026 104 519.88,0,2 381,6.77
09 04 13,325.87,924 279 374.72,0,2 378,6.8
10 04 13,326.65,12 516 155 358.53,0,2 379,6.76
11 04 13,326.81,874 691 244.62,0,2 380,6.76
12 04 13,326.69,353 615 188.88,0,2 377,6.76
15 04 13,325.43,917 184 994.03,0,2 369,6.83
16 04 13,323.17,660 671 106.25,0,2 367,6.96
17 04 13,323.6,399 040 712.02,0,2 367,6.94
18 04 13,324.46,516 222 635.24,0,2 370,6.9
19 04 13,325.45,221 868 760.31,0,2 371,6.85
22 04 13,325.63,567 614 545.35,0,2 367,6.85
23 04 13,326.58,1 432 081 351.72,0,2 369,6.81
24 04 13,327.24,27 595 750 216.06,0,2 381,6.78
25 04 13,327.69,1 750 733 745.36,0,2 380,6.76
26 04 13,327.66,544 200 190.17,0,2 380,6.77
29 04 13,328.34,1 574 892 058.68,0,2 379,6.75
30 04 13,331.03,2 006 623 875.8,0,2 379,6.61
02 05 13,331.12,138 954.9,0,2 375,6.61
03 05 13,332.03,227 073 660.5,0,2 376,6.57
06 05 13,332.01,779 322 145.2,0,2 373,6.58
